,skills,label
108,test senaryo analiz ingilizce raporlama veri analizi ekip calismasina yatkin,is_analizi_raporlama
109,analiz  raporlama  sunum   cozum uretmeyi seven  dinamik  sonuc odakli  takipci  ingilizce   gorsel ekran tasarimi  test senaryosu  hata sorun yonetim,is_analizi_raporlama
110,raporlama  surec analizi  test senaryolari  office programlari  scrum  project server  disiplinli calisma  talep yonetimi uygulama gelistirme  seyahat teknolojileri  ingilizce   sorumluluk sahibi  problem cozme arastirmaci  yenilikci  iletisim becerilerine sahip,is_analizi_raporlama
111,surec analizi   modelleme uretim sektoru ingilizce  yazilim  kodlama   office programlari  ikna yetenegi  liderlik   analitik dusunen  cozum odakli ekip calismasinda uyumlu detay analizi raporlama,is_analizi_raporlama
112,ingilizce veri yorumlama  veri analiz   surec akislari akis diyagramlari  modelleme  oracle  yazilim gelistirme  veri tabani tasarimi  sistem testleri,is_analizi_raporlama
113,saglik analiz ekip calismasina yatkin analitik dusunen,is_analizi_raporlama
114,analiz ,is_analizi_raporlama
115,analiz  fonksiyonel tasarim  test  sistemsel tasarim  hata yonetimi  java teknolojileri   veri tabani oracle  test senaryosu diyagramlari  proje talep yonetimi  raporlama office programlari,is_analizi_raporlama
116,ingilizce saglik veri tabani sonuc odakli yaklasim proje yonetimi raporlama analitik dusunen,is_analizi_raporlama
117,ingilizce scrum cozum mimarilari hybris backoffice kokpitleri,is_analizi_raporlama
118,surucu ehliyeti tibbi laboratuvar  bakteri office programlari,is_analizi_raporlama
119,veri yapilari office programlari  proje yonetimi surec yonetimi scrum  waterfall  raporlama  analitik dusunen  problem cozme yetenegine sahip  iletisim becerilerine sahip ekip calismasina yatkin analiz   test   akis aktivite diyagramlari  kullanici senaryolari  urunleri test etmek  hata bulmak,is_analizi_raporlama
120,ingilizce sunum raporlama etik kurallari test yonetimi analiz  sequence diagramlari,is_analizi_raporlama
121,bulut   otonom sistemler guvenlik   saas  cizelge olusturmak   proje planlama   test senaryolari  raporlama,is_analizi_raporlama
122,yazilim cozumleri   analiz cagri merkezi  scrum  analitik dusunme   guclu problem cozme  karar verme  cikarim yapabilme iletisim becerilerine sahip ekip calismasina uyumlu,is_analizi_raporlama
123,iletisim becerilerine sahip  empati kurabilen analiz tasarim,is_analizi_raporlama
124,odeme sistemleri  yazilim projeleri  analiz kart temasli temassiz  cbap  office programlari agile  scrum   ogrenmeye istekli  yuksek sorumluluk sahibi ingilizce  analiz  kullanici testleri tasarim  akis diagramlarini   smartspy,is_analizi_raporlama
125,akilli bilet sistemleri  otomasyon sistemleri  arac takip sistemleri  kartli gecis sistemleri  kisi sayma sistemleri  inglizce  fonksiyonel analiz arayuz tasarimi  yazilim gelistirme surecleri  office programlari  test senaryo teknikleri  analitik dusunen  problem cozme yetkinligine sahip iletisim becerilerine sahip  analizi surec metodolojileri  proje yonetimi  yazilim surec yonetimi  raporlama,is_analizi_raporlama
126,ekip calismasi raporlama yazilim gelistirme surecleri  agile  scrum  kanban  yazilim gelistirme analitik dusunen,is_analizi_raporlama
127,analitik dusunen office programlari inglizce sorumluluk sahibi,is_analizi_raporlama
128,iletisim becerilerine sahip insan iliskileri kuvvetli  problem cozme  analitik dusunene  sonuc odakli  raporlama  ingilizce  ihtiyac analizi sistem surec analizi,is_analizi_raporlama
129,analiz yazilim gelistirme isletim sistemi  programlama dili java  veri tabanlari    security performance  availability  reliability  redundancy  sonuc odakli  iletisim becerileri kuvvetli,is_analizi_raporlama
130,iletisim becerilerine sahip ingilizce sonuc odakli ekip calismasi cozum gelistirme yazilim gelistirme metodoloji,is_analizi_raporlama
131,iletisim becerilerine sahip kanal yonetimi analisti  agile  scrum  yazilim gelistirme  fonksiyonel teknik analiz  raporlama kavramsal dusunme yetenegi  sonuc odakli temsil yetenegin ikna etme ekip calismasi,is_analizi_raporlama
132,office programlari finans  sistem gelistirme   analitik dusunen problem cozme yetkinligine sahip  oracle  raporlama   ikna  iletisim yonu guclu  degisime ogrenmeye acik  yaratici  sonuc odakli ekip calismasi analiz raporlama,is_analizi_raporlama
133,analiz sistemlerin performansini takip etme verim artirici iyilestirmeler   stratejiler gelistirme  veril yonetmek anket duzenlemek  veri analizi   pazarlama   raporlama office programlari iletisim becerilerine sahip,sap
134,arastirma yapma pazarlama office programlari  autoline sistemi  veri isleme,sap
135,retail  debug  abap  analitik dusunen  problem cozen ingilizce birim yoneticisi  raporlama,sap
136,abap   fiori  javascript yazilim gelistirme  spec   veri mimarisi  test surecleri  problem cozme analitik dusunme ingilizce programsal hatalari problemleri cozmek raporlama,sap
137,yazilim gelistirme  analiz veri ambari  business objects  raporlama  veritabani yonetimi  test senaryolari uretme   analitik dusunen   raporlama,sap
138,hana sistemleri  cozum ureten  iletisim becerilerine sahip ingilizce talep beklentilerin yonetilmesi  raporlama,sap
139,ingilizce  spss  python  veri madenciligi  siniflandirma  kumeleme   veri yonetimi veri tabani office programlari  proje yonetimi,sap
140,abap ingilizce yurtici yurtdisi seyahat  ekip calismasina yatkin   analitik dusunen  kendini geistirmeye acik c,sap
141,guncel gelismeleri takip etmek  risklerle ilgili etkin onlem almak  ingilizce,sap
142,abap sapui   script smart forms slcm  ingilizce analitik dusunen  problem cozme yetkinligine sahip   iletisim becerilerine sahip  raporlama,sap
143,analiz  hata ayiklama   abap  ekip calismasina yatkin  iletisim becerilerine sahip analitik dusunen problem cozme yetenegine sahip  zaman yonetiminde yetkin  arastirmaci  sorumluluk sahibi  ingilizce office programlari scrum  mulakat anket saha analizi  focus toplantilar iveri akis diyagramlari,sap
144,analitik dusunen ekip calismasina yatkin  iletisim becerilerine sahip   ogrenmeye acik  surec analizi,sap
145,modul danismanligin  full cycle proje deneyimi  donusum surecleri analitik dusunen   iletisim yetenegine sahip  ingilizce  esnek calisma saatlerine uyumlu  yurtici yurtdisi engeli olmayan,sap
146,office programlari full cycle  ingilizce   iletisim becerilerine sahip  analitik dusunen ekip calismasina yatkin  analiz  raporlama,sap
147,finansal  lojistik  ingilizce   esnek calisma saatlerine uyumlu y urt yurt disi seyahat engeli olmayan  ekip calismasina yatkin  analitik dusunen,sap
148,finans  muhasebe  raporlama  esnek calisma saatleri iletisim becerilerine sahip  analitik dusunen  ehliyet  aktif arac kullanabilen  seyahat engeli olmayan  ingilizce,sap
149,analitik  google adwords  google analytics  adobe photoshop  adobe illustrator  adobe indesign  analitik dusunen  veri ambari   office programlari veri tabani raporlanma veri zenginlestirme  siparis saha ziyaret raporu,sap
150,google adwords  google analytics  dijital trendleri takip eden  adobe photoshop  adobe illustrator  adobe indesign   analitik dusunen veri ambari   office programlari segment stratejileri raporlama veri zenginlestirme,sap
151,crystal report programi  office programlari  analitik dusunen  iletisim becerilerine sahip  ingilizce  optimize etme  modul gelistirme  test egitim destek sureclerin raporlama,sap
152,analitik dusunen veri ambari  office programlarin microstrategy  proje yonetimi  musteri anahtar performans gostergelerin raporlanmasi  musteri veri kalitesinin korunmasi   veri zenginlestirme   kisiye ozel kampanyalar,sap
153,ingilizce  almanca  shift sistemine uyumlu   sorumluluk sahib i analitik dusunen sistem yonetimi  operating system management  database management  technical support,sap
154,canias deneyimi bulunan  troia sorgulama diline hakim ingilizce  analitik dusunen  ekip calismasina yatkin surec analizi,sap
155,reports publisher gelistirme   java  ekip calismasina yatkin oracle   raporlama  plsql publisher discoverer,sap
156,iletisim becerilerine sahip uretim surecleri  ingilizce  ekip calismasina yatkin  gelisime acik  esnek calisma saatlerine uyum saglayan analiz musteri beklentilerinin arastirilmasi  kavramsal tasarim  raporlama,sap
157,office programlari  ingilizce  ogrenmeye acik  analitik  trendleri takip eden,sap
158,iletisim becerilerine sahip  analiz  raporlama  sunum  office programlari veritabani  webservis  microsoft dynamics  powerbi  ingilizce raporlama,sap
159,successfactors modul danismani  ingilizce  ekip calismasina yatkin  analitik dusunen  yeni teknolojileri takip eden  gelisime acik   sonuc odakli  yurt yurt disi seyahat engeli bulunmayan raporlama,sap
160,modul danismani  ingilizce raporlama iletisim becerilerine sahip  ekip calismasina yatkin  analitik dusunen proaktif bakis acisina sahip  sonuc odakli  yurt yurt disi seyahat engeli bulunmayan test egitim destek sureclerin raporlama,sap
161,hata ayiklama abap  ingilizce  ekip calismasina yatkin  iletisim becerileri gelismis  arastirmaci  ogrenmeye acik  analitik dusunce yapisina sahip  cozum odakli ithalat bilgisine sahip,sap
162,raporlama  server uzerinde sorgu view store procedure function yazabilecek duzeyde bilgi sahibi windows server sistemlerine hakim  ekip calismasina yatkin   organizasyon becerisi yuksek  excel uzerinde otomatik calisan raporlar hazirlanmasi,sap
163,ingilizce  office programlari  spss  yogun calisma temposuna uyum saglayabilen  seyahat engeli bulunmayan musteri davranislarini analiz eden sepet analizleri  musteri kaybi analizleri  veri madenciligi  mailing operasyonlarini yonetmek  raporlama,sap
164,veri madenciligi  ingilizce office programlari veri cozumleme gereksinim analizleri yapabilen  iletisim becerilerine sahip  sadakat programi  veri tabani,sap
165,surec yonetimi  surec analizi  ingilizce sureclerin iyilestirilmesi fonksiyonel tasarim  teknik tasarim t est dokumanlarinin hazirlanmasi   iyilestirme onerilerinde bulunmak  yazilim gelistirme sureci raporlama data classification,sap
166,ingilizce  veri madenciligi  analitik dusunen  problem cozme becerisi olan  verileri analiz  ekip calismasina yatkin  yogun stresli calisma temposuna ayak uydurabilen  raporlama  sunum  google analytics  mail marketing yonetimi  olcumleme raporlama yapilmasi   veri analiz,sap
167,perakende sektorunde tecrubeli  analitik  analiz yetenegine sahip  office programlari  iletisim becerilerine sahip seyahat engeli bulunmayan  raporlama,sap
168,esnek calisma saatlerine uyabilecek  arastirmac i hizli analitik dusunebilen  detaylara onem veren  sonuc odakli  proaktif   siparis yonetimi  sevkiyat stok yonetimi  faturalama  fiyatlama  kampanya satis   talep istekleri koordine eden abap   sistemsel tasarimin sureclerinin iyilestirmesin raporlama,sap
169,abap ingilizce  ekip calismasina yatkin  detaylara onem veren  sonuc odakli  proaktif  analitik dusunen,sap
170,ingilizce  problemleri analiz edip sistematik cozum uretebilen  seyahat engeli olmayan  butce takibi,sap
171,raporlama insan iliskileri kuvvetli  ekip calismasina yatkin  analitik dusunen,sap
172,lojistik   full cycle proje yonetimi  kaynaklarin verimli kullanimi profesyonel deneyim sahibi  ekip calismasina yatkin analitik dusunen  arastirmayi seven  cozum odakli iletisim yonu kuvvetli ingilizce,sap
173,teknik ekiplerle iletisime gecmek  analiz  tasarim  test  yazilim gelistirme yasam dongusunun asamalarini desteklemek  proje yonetimi  analiz  problem cozme becerisi yuksek  sonuc odakli  proaktif  sorumluluk sahibi  dikkatli  detaylara onem,sap
174,uretim surecleri konusunda bilgili   modul uzmani  analist  analitik dusunen seyahat engeli bulunmayan raporlama  cozum onerilerinde bulunma,sap
175,analitik dusunen yaratici  ogrenmeye acik  ekip calismasina yatkin  sonuc odakli  muhasebe  finans  depo yonetimi  server   office programlari  iyilestirme gelistirme bakis acisina sahip  sonuc odakli  yeni teknolojileri takip eden   sigara kullanmayan,sap
176,entegrasyon   tecrubeli   hizli kavrama yetenegi olan java ingilizce,sap
177,full cycle proje deneyimi olan  seyahat engeli bulunmayan  ingilizce  ekip calismasina yatkin  kendini gelistiren iletisim becerilerine sahip  detaylara onem veren  sonuc odakli  proaktif  analitik dusunen zaman yonetiminde hassas olan  esnek calisma saatlerine uyabilecek  optimizasyon,sap
178,proje yoneticisi deneyimine sahip  office programlari  microsoft dynamics  raporlama   ingilizce iyilestirme  cozum ureten letisim becerilerine sahip  sunum becerileri gelismis  analitik dusunen   problem cozme becerisi yuksek  gelisen trendleri takip eden  yenilikci projeler getiren   veri analizleri yapmak,sap
179,ingilizce  daha once devreye alma projesi yonetmis  uretim  planlama  uretim surec yonetimi   server veritabani,sap
180,ekip calismasina yatkin  iletisim becerileri olan  insan iliskileri kuvvetli  problem cozme yetenegine sahip  proaktif  sonuc odakli   analitik dusunen raporlama  yeni teknolojileri yakindan takip eden  kendini gelistirmeye acik,sap
181,karlilik analizi  raporlama  analitik dusunen  sonuc odakli  detaylara hakim  iletisim becerilerine sahip,sap
182,kullanicilara destek egitim vermek   kanuni mevzuati takip edip mikro versiyon guncellemelerini yapmak  muhasebe iletisim becerilerine sahip,sap
183,ingilizce yogun tempoya ayak uydurabilen  esnek calisma saatlerine uyum saglayabilen  iletisim becerisine sahip cozum odakli abap  ihtiyac analizi   fizibilite kaynaklarin dogru sekilde kullanilmasinin saglanmasi  onceliklendirme yapma  veri aktarimini tasarlamak   egitim belgelerini hazirlamak   analiz dokumantasyonun hazirlanmasi  test senaryolarini olusturmak   finans,sap
184,anahtar kullanicilara destek verilmesi  ihtiyac duyulan program raporlarin hazirlanmasi   calismalarin koordinasyonu  modul tecrubesi olan  analitik bakis acisina sahip  sonuc odakli  problem cozme yetkinligi olan  iletisim becerisine sahip  ekip calismasina yatkin  esnek calisma saatlerine uyum saglayabilen,sap
185,abap uzmani,sap
186,kampanya yonetimi  raporlama  ingilizce office programlari   spss   organizasyon becerisine sahip  musteri memnuniyeti yaklasimini benimsemis  musteri davranislarini analiz ederek analizler dogrultusunda gelistirme sunan  sepet analizi  musteri kaybi analizi  veri madenciligi  musteri hareketlerini analiz etmek,sap
187,office programlari  raporlama  analiz  sunum  analitik dusunen   pazarlama  ekip calismasinda basarili  iletisim becerilerine sahip  insan iliskileri kuvvetli  proje yonetimi  veri  tabanini   veri kalitesini iyilestirmek   kampanya sonuclarini raporlamak analizlerini yapmak musteri analiz raporlarini olusturmak  raporlama,sap
188,ingilizce  ekip calismasina yatkin  esnek calisma saatlerine uyum saglayabilecek  yurtici yurtdisi seyahat engeli olmayan  analitik dusunen  kendini gelistirmeye acik,sap
189,modul sorumlusu  ingilizce  office programlari iletisim becerisi guclu  proaktif  sonuc odakli  ekip calismasina yatkin  planlama  takip  raporlama  seyahat engeli olmayan veri bakimi,sap
190,musteri analizi  veri analizi  veri madenciligi  raporlama  sunum  script yazma office programlari musteri davranis takibi  verilerin takip edilmesi   gorsellestirme   spss statistics  spss modeler   python  google analytics  adobe analytics countly   veri tabani verilerin toplanmasi,sap
191,abap  ingilizce  fiori  yazilim gelistirme  veri mimarisi   problem cozmede yaratici  analitik dusunen,sap
192,ingilizce maliyet karlilik analizi  muhasebe  finans   analitik dusunen  iletisim becerileri yuksek  zaman yonetiminde basarili  arastirmaci  sorumluluk sahibi  raporlama   maliyet analizlerini yaparak urunun maliyet detaylarini analiz etmek,sap
193,finans muhasebe  ingilizce   ekip calismasina yatkin analitik dusunen   iletisim becerilerine sahip  zaman yonetiminde basarili   office programlari arastirmaci  sorumluluk sahibi   modul uzmani,sap
194,modul bilgisi bulunan  ekip calismasina yatkin  iletisim becerisine sahip  ingilizce  ihtiyaclari dogrultusunda cozum uretebilen  problemlerin analizi,sap
195,fonksiyonel danisman   ingilizce  kendini gelistirmeye acik  analitik dusunen  ekip calismasina yatkin,sap
196,retail office programlari kendini gelistirmeye acik  analitik dusunen  problem cozumu koordinasyon becerileri gelismis  iletisim becerisine sahip  cobit disiplininde calismis  satinalma depo yonetimi  kalite sevkiyat sureclerine hakim  perakende sektoru  stok depo yonetimi,sap
197,retail office programlarina  ogrenmeye kendini gelistirmeye acik  analitik dusunen  problem cozumu koordinasyon becerileri gelismis   iletisim becerisine sahip  cobit disiplininde calismis  depo yonetimi  kalite  sevkiyat  satin alma   perakende sektoru  finans  maliyet muhasebesi  duran varlik yonetimi  karlilik gayrimenkul yonetimi   proje yoneticisi,sap
198,full cycle  analitik dusunen musteri ihtiyaclari dogrultusunda cozum uretebilen  ekip calismasina yatkin   iletisim becerileri olan  ingilizce  esnek calisma saatlerine uyum gosterebilen yurtici seyahat engeli olmayan,sap
199,modul deneyim sahibi modul bilgisi olan  iletisim becerilerine sahip  ingilizce satis sevkiyat fiyatlandirma  faturalama  irsaliye sureclerindeki tasarimlari yapmak  fatura  arsiv fatura   abap uzmani birlikte calismak  sureclerinin analiz edilmesi  problemlerin analiz edilmesi,sap
200,ingilizce almanca yazilim gelistirme tecrubesine sahip  mssql   troia yazilim diline hakim  android isletim sistem analitik  dinamik  cozum odakli  hedef odakli  neden sonuc iliskisini kurabilen  yuksek tempolu calisma ortamina uyum saglayabilen  merakli  arastirmaci  sorgulayici  proje yonetim tecrubesine sahip  kendini gelistirmeye istekli  sektorel gelismeleri takip eden  surekli iyilestirme yaklasimina sahip,sap
201,grup yoneticisi   abap basis   fiori  abap object orient  servis olusturma  consume etme  sistem mimarisi yonetimi konusunda tecrubeli  analitik dusunen  problem cozme becerisi yuksek  guclu iletisim yetenegi olan  yeni teknolojileri konusunda bilgi sahibi   ogrenmeye acik,sap
202,abap  webdynpro  brfplus   analitik dusunen ingilizce  esnek calisma saatlerine uyabilecek  ekip calismasina yatkin seyahat engeli olmayan ozellikle,sap
203,ingilizce otomotiv sektoru  proje yonetimi   ekip calismasina yatkin   iletisim becerisine sahip  analitik dusunen  problem cozme  karar alma  planlama becerisine sahip    projelerin surec takibi,sap
204,almanca  danisman seyahat etme kisiti olmayan  uluslararasi projelerde calismak isteyen  deneyimli,sap
